"","country","ISO3_Code","model_name","Scientific_Name","environment","fao_fishing_area","production","national_production","farm_name","prop_production"
"1","Indonesia","IDN","grunts","Terapon puta","Marine","Pacific, Western Central",0.011,8739896.85872143,"Other",1.25859608846794e-09
"2","Indonesia","IDN","lobsters","Panulirus homarus","Marine","Pacific, Western Central",0.115,8739896.85872143,"Other",1.31580500158012e-08
"3","Indonesia","IDN","trevally","Caranx bucculentus","Marine","Pacific, Western Central",0.117,8739896.85872143,"Other",1.33868856682499e-08
"4","Indonesia","IDN","sea_cucumber","Actinopyga echinites","Marine","Pacific, Western Central",0.125,8739896.85872143,"Other",1.43022282780447e-08
"5","Indonesia","IDN","grouper","Plectropomus oligacanthus","Marine","Pacific, Western Central",0.15,8739896.85872143,"Other",1.71626739336537e-08
"6","Indonesia","IDN","grouper","Epinephelus maculatus","Marine","Pacific, Western Central",0.18,8739896.85872143,"Other",2.05952087203844e-08
"7","Indonesia","IDN","clams","Polymesoda spp","Marine","Pacific, Western Central",0.204,8739896.85872143,"Other",2.3341236549769e-08
"8","Indonesia","IDN","trevally","Platycaranx malabaricus","Marine","Pacific, Western Central",0.37,8739896.85872143,"Other",4.23345957030124e-08
"9","China","CHN","oysters","Ex Pinctada spp","Marine","Pacific, Northwest",2.346,37340268.6414286,"Other",6.2827614405461e-08
"10","Indonesia","IDN","chubs","Kyphosus cinerascens","Marine","Pacific, Western Central",0.801,8739896.85872143,"Other",9.16486788057107e-08
"11","Indonesia","IDN","trevally","Caranx lugubris","Marine","Pacific, Western Central",1.295,8739896.85872143,"Other",1.48171084960543e-07
"12","Indonesia","IDN","general_fish","Plectorhinchus schotaf","Marine","Pacific, Western Central",1.301,8739896.85872143,"Other",1.4885759191789e-07
"13","Spain","ESP","soles","Solea solea","Marine","Atlantic, Northeast",0.04,264035.123892857,"Other",1.5149499585605e-07
"14","Indonesia","IDN","general_fish","Lutjanus fulvus","Marine","Pacific, Western Central",1.56,8739896.85872143,"Other",1.78491808909998e-07
"15","Philippines","PHL","shrimp","Penaeus merguiensis","Marine","Pacific, Western Central",0.316,1684667.3459881,"Other",1.87574123017538e-07
"16","Spain","ESP","crabs","Carcinus maenas","Marine","Mediterranean and Black Sea",0.05,264035.123892857,"Other",1.89368744820062e-07
"17","Spain","ESP","general_molluscs","Mollusca","Marine","Atlantic, Northeast",0.05,264035.123892857,"Other",1.89368744820062e-07
"18","Indonesia","IDN","trevally","Turrum gymnostethus","Marine","Pacific, Western Central",1.7,8739896.85872143,"Other",1.94510304581408e-07
"19","Indonesia","IDN","general_fish","Lutjanus argentimaculatus","Marine","Pacific, Western Central",1.753,8739896.85872143,"Other",2.00574449371299e-07
"20","Indonesia","IDN","grouper","Epinephelus cyanopodus","Marine","Pacific, Western Central",2.2,8739896.85872143,"Other",2.51719217693587e-07
"21","Republic of Korea","KOR","general_invertebrates","Invertebrata","Marine","Pacific, Northwest",0.5975,2266404.24630238,"Other",2.63633462995322e-07
"22","Spain","ESP","scallops","Mimachlamys varia","Marine","Atlantic, Northeast",0.07,264035.123892857,"Other",2.65116242748087e-07
"23","Mexico","MEX","general_gastropods","Gastropoda","Marine","Atlantic, Western Central",0.00883333333333333,26076.2340595238,"Other",3.38750346893252e-07
"24","Spain","ESP","general_seaweed","Undaria pinnatifida","Marine","Atlantic, Northeast",0.093,264035.123892857,"Other",3.52225865365316e-07
"25","Indonesia","IDN","mudskipper","Planiliza subviridis","Marine","Pacific, Western Central",3.108,8739896.85872143,"Other",3.55610603905304e-07
"26","Republic of Korea","KOR","clams","Meretrix lusoria","Marine","Pacific, Northwest",0.86,2266404.24630238,"Other",3.79455695692012e-07
"27","Spain","ESP","cockles","Cerastoderma glaucum","Marine","Atlantic, Northeast",0.103,264035.123892857,"Other",3.90099614329328e-07
"28","Spain","ESP","bass","Dicentrarchus punctatus","Marine","Atlantic, Northeast",0.118,264035.123892857,"Other",4.46910237775347e-07
"29","Spain","ESP","clams","Venus verrucosa","Marine","Mediterranean and Black Sea",0.1235,264035.123892857,"Other",4.67740799705554e-07
"30","Indonesia","IDN","lobsters","Panulirus longipes","Marine","Pacific, Western Central",4.213,8739896.85872143,"Other",4.8204230188322e-07
"31","Papua New Guinea","PNG","oysters","Ex Pinctada spp","Marine","Pacific, Western Central",0.000428571428571429,715.286142857143,"Other",5.99160815362004e-07
"32","Indonesia","IDN","cobia_ling","Rachycentron canadum","Marine","Pacific, Western Central",6.45633333333333,8739896.85872143,"Other",7.38719625379863e-07
"33","Spain","ESP","general_seaweed","Gracilaria spp","Marine","Atlantic, Northeast",0.19575,264035.123892857,"Other",7.41378635970544e-07
"34","Spain","ESP","clams","Solen spp","Marine","Atlantic, Northeast",0.206666666666667,264035.123892857,"Other",7.82724145256258e-07
"35","Spain","ESP","microalgae","Spirulina spp","Marine","Atlantic, Eastern Central",0.2075,264035.123892857,"Other",7.85880291003259e-07
"36","Canada","CAN","general_molluscs","Mollusca","Marine","Pacific, Northeast",0.142857142857143,169568,"Other",8.4247701722697e-07
"37","Indonesia","IDN","lobsters","Thenus orientalis","Marine","Pacific, Western Central",8.34666666666667,8739896.85872143,"Other",9.55007456219307e-07
